Date,Steps
Thu Jun 09 00:00:00 PDT 2016,6183
Fri Jun 10 00:00:00 PDT 2016,7932
Sat Jun 11 00:00:00 PDT 2016,313
Sun Jun 12 00:00:00 PDT 2016,626
Mon Jun 13 00:00:00 PDT 2016,8298
Tue Jun 14 00:00:00 PDT 2016,6626
Wed Jun 15 00:00:00 PDT 2016,6202
Thu Jun 16 00:00:00 PDT 2016,6501
Fri Jun 17 00:00:00 PDT 2016,10724
Sat Jun 18 00:00:00 PDT 2016,46
Sun Jun 19 00:00:00 PDT 2016,694
Mon Jun 20 00:00:00 PDT 2016,6955
Tue Jun 21 00:00:00 PDT 2016,1633
Wed Jun 22 00:00:00 PDT 2016,6186
Thu Jun 23 00:00:00 PDT 2016,2573
Fri Jun 24 00:00:00 PDT 2016,836
Sat Jun 25 00:00:00 PDT 2016,1619
Sun Jun 26 00:00:00 PDT 2016,714
Mon Jun 27 00:00:00 PDT 2016,1784
Tue Jun 28 00:00:00 PDT 2016,2241
Wed Jun 29 00:00:00 PDT 2016,4206
Thu Jun 30 00:00:00 PDT 2016,8135
Fri Jul 01 00:00:00 PDT 2016,973
Sat Jul 02 00:00:00 PDT 2016,388
Sun Jul 03 00:00:00 PDT 2016,1970
Mon Jul 04 00:00:00 PDT 2016,1691
Tue Jul 05 00:00:00 PDT 2016,6623
Wed Jul 06 00:00:00 PDT 2016,6992
Thu Jul 07 00:00:00 PDT 2016,7180
Fri Jul 08 00:00:00 PDT 2016,7837
Sat Jul 09 00:00:00 PDT 2016,302
Sun Jul 10 00:00:00 PDT 2016,499
Mon Jul 11 00:00:00 PDT 2016,7472
Tue Jul 12 00:00:00 PDT 2016,7183
Wed Jul 13 00:00:00 PDT 2016,8116
Thu Jul 14 00:00:00 PDT 2016,945
Fri Jul 15 00:00:00 PDT 2016,9506
Sat Jul 16 00:00:00 PDT 2016,415
Sun Jul 17 00:00:00 PDT 2016,863
Mon Jul 18 00:00:00 PDT 2016,8011
Tue Jul 19 00:00:00 PDT 2016,7834
Wed Jul 20 00:00:00 PDT 2016,1880
Thu Jul 21 00:00:00 PDT 2016,2969
Fri Jul 22 00:00:00 PDT 2016,8869
Sat Jul 23 00:00:00 PDT 2016,319
Sun Jul 24 00:00:00 PDT 2016,605
Mon Jul 25 00:00:00 PDT 2016,7750
Tue Jul 26 00:00:00 PDT 2016,8564
Wed Jul 27 00:00:00 PDT 2016,7547
Thu Jul 28 00:00:00 PDT 2016,7513
Fri Jul 29 00:00:00 PDT 2016,9276
Sat Jul 30 00:00:00 PDT 2016,4472
Sun Jul 31 00:00:00 PDT 2016,868
Mon Aug 01 00:00:00 PDT 2016,7450
Tue Aug 02 00:00:00 PDT 2016,8341
Thu Aug 04 00:00:00 PDT 2016,15452
Fri Aug 05 00:00:00 PDT 2016,3169
Sat Aug 06 00:00:00 PDT 2016,8
Sun Aug 07 00:00:00 PDT 2016,2626
Mon Aug 08 00:00:00 PDT 2016,7531
Tue Aug 09 00:00:00 PDT 2016,7480
Wed Aug 10 00:00:00 PDT 2016,7609
Thu Aug 11 00:00:00 PDT 2016,7198
Fri Aug 12 00:00:00 PDT 2016,8888

